城市,地址,社區,房價(萬)/坪,平均坪數
Taipei-city,松隆路２９８號,信義川普,89.8,None
Taipei-city,徐州路１０號,徐州10,89.8,None
Taipei-city,敦化南路一段//敦化南路,鳳凰大廈,89.7,33
Taipei-city,中山北路二段１２０號,遠雄富都,89.7,None
Taipei-city,瑞安街//復興南路二段,攬翠樓,89.6,50
Taipei-city,八德路四段６３６號,翔譽101,89.6,16
Taipei-city,敦化南路二段//敦化南路,思牧敦南福廈,89.5,42
Taipei-city,信義路四段１８１號,上品大樓,89.5,29
Taipei-city,瑞安街２６０號,由布院,89.5,9
Taipei-city,長安東路二段１０９號,長安一品,89.5,None
Taipei-city,羅斯福路二段１８號,邑安居,89.5,None
Taipei-city,敦化南路一段２３３巷３１號,三普雅舍,89.4,22
Taipei-city,天玉街１３號,縱橫,89.3,None
Taipei-city,民生東路三段//民權東路三段,中央麗園大廈,89.3,None
Taipei-city,瑞安街２０８巷７０弄５號,大安尊邸,89.2,None
Taipei-city,成功路四段１７８號,?湖?,89.2,None
Taipei-city,復興南路一段３５８號,復興豪華,89.1,26
Taipei-city,忠孝東路四段１７５號,羅馬大廈,89.1,None
Taipei-city,忠孝東路四段３３１號,鴻豪大樓,89,69
Taipei-city,忠孝東路四段６７號,香檳大樓,89,64
Taipei-city,敦化南路一段//敦化南路,雙橡園,89,None
Taipei-city,復興南路一段２１１號,名家大廈,88.8,None
Taipei-city,仁愛路四段４０８巷１６號,恒邦翠亨,88.8,None
Taipei-city,堤頂大道二段３３６號,聖荷西,88.8,89
Taipei-city,中華路一段９５巷７號,皇翔紫鼎,88.7,None
Taipei-city,忠誠路一段１７３巷１９號,無相,88.6,None
Taipei-city,忠孝東路三段３０３號,協大忠孝大樓,88.5,None
Taipei-city,堤頂大道二段３６６號,忠泰千葉園,88.5,57
Taipei-city,仁愛路二段２０巷３之１號,仁愛首杭,88.5,32
Taipei-city,中山北路二段１７３號,中山富御,88.5,None
Taipei-city,八德路三段１７７號,大阿曼,88.4,70
Taipei-city,辛亥路一段//汀州路三段,潤泰花園廣場,88.4,None
Taipei-city,市民大道三段２０８號,園周綠,88.4,None
Taipei-city,八德路四段２０７巷１號,松融,88.4,None
Taipei-city,仁愛路四段//光復南路,仁愛三青,88.3,45
Taipei-city,信義路四段２５９號,前鋒大廈,88.3,27
Taipei-city,大安路一段//仁愛路四段,翡翠大廈,88.3,None
Taipei-city,吉林路//長安東路二段,忠泰明,88.3,75
Taipei-city,和平東路二段３８號,仁普大公園華廈,88.2,29
Taipei-city,和平東路一段１７７之１號,修德園大廈,88.2,None
Taipei-city,復興北路//民權東路三段//民權東路,雅適-和亨,88.2,49
Taipei-city,松江路４０６號,東西匯,88.2,None
Taipei-city,新富街５８號,元大君品,88.2,None
Taipei-city,泰順街１６巷２６號,師大大師,88.1,None
Taipei-city,天母西路５０巷１１號,溪雅圖,88.1,96
Taipei-city,和平東路一段１１５號,師大禮居,88,50
Taipei-city,德行西路３６號,萬象之都,88,34
Taipei-city,金湖路１２５號,文心AIT,88,None
Taipei-city,八德路二段//市民大道三段,威廉王子,88,12
Taipei-city,信義路二段//永康街//金華街,金華369,87.9,15
Taipei-city,北安路５５４巷１９號,唐寧街,87.9,34
Taipei-city,八德路三段９７號,敦北傑座,87.9,37
Taipei-city,泰安街//濟南路二段,明園,87.9,None
Taipei-city,忠孝東路四段//安和路一段,敦南名園,87.7,40
Taipei-city,忠孝東路四段//基隆路一段,翠亨御園,87.7,39
Taipei-city,和平東路二段１８號,明翰居,87.6,27
Taipei-city,仁愛路四段//信義路四段//安和路一段,鴻福大樓,87.6,None
Taipei-city,基隆路二段１４９號,帛詩華,87.6,None
Taipei-city,安和路二段//安和路,東帝士花園廣場,87.4,None
Taipei-city,泰順街５０巷９號,師大美墅,87.4,11
Taipei-city,承德路四段//承德路,金花園大廈,87.3,38
Taipei-city,忠孝東路五段４２３巷５弄１２號,春天首席,87.3,11
Taipei-city,士商路１４９號,隱仕林,87.3,65
Taipei-city,松德路１７０號,馬可波羅,87.2,54
Taipei-city,松德路２０２號,信義雙星,87.2,70
Taipei-city,東豐街５４號,泰利大廈,87.2,None
Taipei-city,仁愛路四段４４３號,仁愛名盧,87.2,None
Taipei-city,忠孝東路四段１６０號,建成大樓,87.2,None
Taipei-city,南昌路一段１１９號,中正大觀,87.2,75
Taipei-city,長春路２９０號,華爾道夫二期,87.2,97
Taipei-city,敦化南路一段//敦化南路,周武敦南大廈,87.1,25
Taipei-city,安和路一段//仁愛路四段//安和路,星河,87.1,None
Taipei-city,仁愛路二段９３號,靜園,87.1,54
Taipei-city,安和路二段//臨江街,安和臻愛,87.1,13
Taipei-city,復興南路二段１１號,晶晶,87,None
Taipei-city,復興南路二段７８巷７２號,金元福大廈,87,None
Taipei-city,南昌路二段１８８號,一品居,87,41
Taipei-city,復興南路二段３３號,大安學府,87,None
Taipei-city,康寧路三段６１號,富邦大衛營(精英區),86.8,47
Taipei-city,民生東路二段//錦州街,錦暉華廈,86.7,None
Taipei-city,松平路１３３號,亞歷山大,86.6,51
Taipei-city,光復南路１１６巷２２號,忠孝雅苑,86.6,37
Taipei-city,松仁路１５３巷６號,台北高峰會,86.5,120
Taipei-city,和平東路二段７６巷１９弄１號,龍安庭,86.5,None
Taipei-city,汀州路三段//汀州路,東南亞花園廣場,86.4,None
Taipei-city,光復南路２０２號,花都大廈,86.3,37
Taipei-city,光復南路１９號,翠亨鄉榭,86.2,None
Taipei-city,基隆路一段//永吉路,太子101,86.2,None
Taipei-city,忠孝東路四段１８３號,現代大廈,86.2,None
Taipei-city,成功路四段６３號,雲立方,86.2,None
Taipei-city,中山北路六段１７２巷８號,富森天母,86.2,None
Taipei-city,仁愛路四段３００巷２２號,國泰仁愛,86.1,36
Taipei-city,內湖路二段１０３巷３４號,樸山水澗,86.1,None
Taipei-city,金華街２１１號,寶鋪九野,86,None
Taipei-city,敦化南路二段//敦化南路,國民大廈,85.9,35
Taipei-city,泰順街４５號,台大文豪,85.9,None
Taipei-city,長春路１８９號,忠泰極,85.8,56
Taipei-city,汀州路三段６６號,台大探花,85.8,71
Taipei-city,健康路１０號,台北藝術家,85.7,48
Taipei-city,羅斯福路二段５號,國家藝術賞,85.7,60
Taipei-city,信義路四段９４號,敦南麗舍,85.7,None
Taipei-city,忠孝東路六段１３０號,柏悅特區,85.6,None
Taipei-city,忠孝東路五段７１巷１２弄６號,101富裔館,85.6,28
Taipei-city,敦化南路二段//敦化南路,保富寰宇大樓,85.5,None
Taipei-city,民權西路１１８巷２號,第芬妮,85.5,12
Taipei-city,慶城街１４號,統基大樓,85.5,None
Taipei-city,復興南路二段７８巷３０弄３號,金銀雙星,85.4,None
Taipei-city,信義路二段１３號,蘇杭大廈,85.4,50
Taipei-city,萬全街１號,言葉,85.4,34
Taipei-city,四維路１７０巷１號,縱橫天廈,85.4,None
Taipei-city,民生東路五段//民生東路,國揚,85.3,33
Taipei-city,臨沂街２９巷１６號,寶鑽新第,85.2,None
Taipei-city,杭州南路一段８９號,中正逸園,85.2,None
Taipei-city,羅斯福路四段１５６號,台大寰宇堂,85.2,None
Taipei-city,信義路二段１號,中正梅園,85.1,40
Taipei-city,新生北路二段７號,台北一號院,85.1,None
Taipei-city,文林北路１３２號,藍田陞玉,85.1,None
Taipei-city,北安路４５８巷４１弄１８號,鍾愛大直,85,52
Taipei-city,忠孝東路四段１４６巷１９號,國璽天廈,85,47
Taipei-city,羅斯福路一段//寧波西街,中正藏璽,85,None
Taipei-city,東新街１７０巷４１號,天開圖畫,85,None
Taipei-city,安和路二段//安和路,凱旋門,84.9,65
Taipei-city,愛國東路//寧波東街//金華街,新隆社區,84.9,None
Taipei-city,八德路二段３４８號,微風麗弗,84.9,15
Taipei-city,信義路四段２０３號,僑福花園廣場,84.8,155
Taipei-city,仁愛路四段３４５巷４弄３７號,雲河,84.8,None
Taipei-city,北安路４５８巷４７弄１８號,忠泰寰宇堂VOGUE,84.8,16
Taipei-city,臨沂街２８號,恩光名廈,84.8,None
Taipei-city,安和路二段１８９巷７號,遠砌CASA,84.8,None
Taipei-city,基河路１６號,圓山窗外,84.7,20
Taipei-city,青田街１２巷１０號,青田階,84.7,None
Taipei-city,行善路２９１號,國泰沐善,84.7,None
Taipei-city,建國北路一段１５０號,閱禾琚,84.7,13
Taipei-city,復興南路二段２３６號,台北大廈,84.6,28
Taipei-city,吉林路１０號,華固吉邸,84.6,None
Taipei-city,民權東路六段２８０巷１８號,馨鑽,84.6,None
Taipei-city,新生南路三段２號,星雲大廈,84.5,None
Taipei-city,復興南路二段１３１號,福星,84.5,None
Taipei-city,青田街６巷６號,青田硯,84.5,None
Taipei-city,信義路五段１１５號,新川普,84.5,20
Taipei-city,和平東路一段５９號,儒林天下,84.3,40
Taipei-city,復興南路二段７８巷３２號,祥瑞園,84.3,50
Taipei-city,安和路一段//安和路,信愛大廈,84.3,35
Taipei-city,成功路五段４５０巷２３弄１７號,富邦大衛營(領袖區),84.3,78
Taipei-city,辛亥路二段//建國南路二段,莎士比亞,84.3,None
Taipei-city,和平東路二段８６號,翰林大廈,84.2,16
